emitter_id,freq_MHz,pri_us,pw_us,doa_deg,amp_dB,toa_us
8,10010.153048453245,4159.442548451347,694.954421559539,147.94196229902923,-54.11453147934064,12203.072318044517
8,10008.813259056524,4159.442548451347,613.2354533022342,145.54440446877575,-56.28718897621151,16362.514866495863
8,10009.259717731311,4159.442548451347,676.4318209814201,148.09171278744074,-56.618639917716344,20521.95741494721
1,8623.764184888008,4887.995089067299,323.0062490525825,215.86958681733694,-36.808668213024596,20584.494295802448
8,10009.255694954883,4159.442548451347,623.0832246228757,146.62121594547224,-54.380276732059514,24681.39996339856
1,8623.59409309384,5754.210836063001,326.2304209095395,216.54386882994183,-36.72584489548084,25472.489384869747
8,10008.905695228654,4159.442548451347,631.1666243237037,147.64270316464604,-56.071414091947105,28840.842511849907
1,8623.925708570658,2003.1150633640573,340.94735896299994,215.87628137642514,-34.77842143989404,31226.700220932747
8,10008.603711937703,4159.442548451347,611.373194500468,147.76162970918452,-57.04083741478167,33000.285060301256
1,8624.537793150592,4887.995089067299,289.9519309279246,217.18059686207016,-37.792290467603074,33229.815284296805
8,10008.808190207968,4159.442548451347,697.1283775368639,147.84007956774562,-56.31253852424924,37159.727608752604
1,8624.164640802175,5754.210836063001,340.88103756119045,216.0149312769906,-37.84996295317833,38117.810373364104
8,10009.276441691265,4159.442548451347,621.7892495753435,148.27564721779345,-55.92949365107972,41319.17015720395
1,8623.625854619622,2003.1150633640573,331.780509640614,215.0234649237327,-37.04430936326031,43872.021209427105
8,10009.557098530662,4159.442548451347,649.4749094629881,148.06439100102912,-55.72061762023935,45478.6127056553
1,8624.011409984065,4887.995089067299,315.2032139594852,216.2251185656294,-35.49029993930372,45875.13627279116
8,10009.194717829843,4159.442548451347,637.1594319883714,147.03295225938922,-55.36915174840276,49638.05525410665
1,8623.892266927198,5754.210836063001,333.91460055383936,215.49421764740777,-35.502566984822636,50763.13136185846
8,10009.2919806398,4159.442548451347,612.6983689881323,146.5055603346068,-54.776238288729104,53797.497802558
1,8625.306086390447,2003.1150633640573,335.32026686332074,216.66489026778538,-35.04942159523917,56517.34219792146
8,10008.825834966525,4159.442548451347,629.6989106001564,147.6692625751893,-55.66791401140341,57956.94035100935
